boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
Queens,105,FALSE,25-44,male,Unknown
the Bronx,52,FALSE,25-44,male,Black
Manhattan,32,TRUE,25-44,male,Black
Manhattan,33,FALSE,18-24,female,Black
the Bronx,44,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black Hispanic
the Bronx,44,FALSE,25-44,male,White Hispanic
Staten Island,120,FALSE,18-24,male,Black
Queens,103,TRUE,45-64,male,Black
Brooklyn,67,TRUE,18-24,male,Black
the Bronx,48,FALSE,25-44,female,White Hispanic
the Bronx,48,TRUE,25-44,female,White Hispanic
the Bronx,48,FALSE,25-44,male,White Hispanic
the Bronx,48,TRUE,25-44,male,White Hispanic
Queens,103,FALSE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Manhattan,32,TRUE,25-44,male,Black
Manhattan,34,FALSE,25-44,male,Unknown
Manhattan,23,FALSE,25-44,male,Black
Brooklyn,70,TRUE,18-24,male,Asian / Pacific Islander
the Bronx,44,FALSE,18-24,male,White Hispanic
the Bronx,44,FALSE,<18,female,Black
Manhattan,32,FALSE,25-44,male,Unknown
Brooklyn,66,FALSE,18-24,male,Asian / Pacific Islander
Brooklyn,66,FALSE,<18,female,Asian / Pacific Islander
the Bronx,46,TRUE,25-44,male,Black
Queens,105,FALSE,45-64,male,Asian / Pacific Islander
